episode_dir,hdf5_name,instruction_name,num_frames,is_dirty
adjust_bottle/aloha-agilex_clean_50,data/episode_0.hdf5,instructions/episode_0.json,139,0
adjust_bottle/aloha-agilex_clean_50,data/episode_1.hdf5,instructions/episode_1.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_2.hdf5,instructions/episode_2.json,149,0
adjust_bottle/aloha-agilex_clean_50,data/episode_3.hdf5,instructions/episode_3.json,148,0
adjust_bottle/aloha-agilex_clean_50,data/episode_4.hdf5,instructions/episode_4.json,151,0
adjust_bottle/aloha-agilex_clean_50,data/episode_5.hdf5,instructions/episode_5.json,147,0
adjust_bottle/aloha-agilex_clean_50,data/episode_6.hdf5,instructions/episode_6.json,137,0
adjust_bottle/aloha-agilex_clean_50,data/episode_7.hdf5,instructions/episode_7.json,136,0
adjust_bottle/aloha-agilex_clean_50,data/episode_8.hdf5,instructions/episode_8.json,152,1
adjust_bottle/aloha-agilex_clean_50,data/episode_9.hdf5,instructions/episode_9.json,152,1
adjust_bottle/aloha-agilex_clean_50,data/episode_10.hdf5,instructions/episode_10.json,135,0
adjust_bottle/aloha-agilex_clean_50,data/episode_11.hdf5,instructions/episode_11.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_12.hdf5,instructions/episode_12.json,139,0
adjust_bottle/aloha-agilex_clean_50,data/episode_13.hdf5,instructions/episode_13.json,139,0
adjust_bottle/aloha-agilex_clean_50,data/episode_14.hdf5,instructions/episode_14.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_15.hdf5,instructions/episode_15.json,138,0
adjust_bottle/aloha-agilex_clean_50,data/episode_16.hdf5,instructions/episode_16.json,173,1
adjust_bottle/aloha-agilex_clean_50,data/episode_17.hdf5,instructions/episode_17.json,147,0
adjust_bottle/aloha-agilex_clean_50,data/episode_18.hdf5,instructions/episode_18.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_19.hdf5,instructions/episode_19.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_20.hdf5,instructions/episode_20.json,135,0
adjust_bottle/aloha-agilex_clean_50,data/episode_21.hdf5,instructions/episode_21.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_22.hdf5,instructions/episode_22.json,140,0
adjust_bottle/aloha-agilex_clean_50,data/episode_23.hdf5,instructions/episode_23.json,156,1
adjust_bottle/aloha-agilex_clean_50,data/episode_24.hdf5,instructions/episode_24.json,144,0
adjust_bottle/aloha-agilex_clean_50,data/episode_25.hdf5,instructions/episode_25.json,133,0
adjust_bottle/aloha-agilex_clean_50,data/episode_26.hdf5,instructions/episode_26.json,147,0
adjust_bottle/aloha-agilex_clean_50,data/episode_27.hdf5,instructions/episode_27.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_28.hdf5,instructions/episode_28.json,138,0
adjust_bottle/aloha-agilex_clean_50,data/episode_29.hdf5,instructions/episode_29.json,152,1
adjust_bottle/aloha-agilex_clean_50,data/episode_30.hdf5,instructions/episode_30.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_31.hdf5,instructions/episode_31.json,141,0
adjust_bottle/aloha-agilex_clean_50,data/episode_32.hdf5,instructions/episode_32.json,135,0
adjust_bottle/aloha-agilex_clean_50,data/episode_33.hdf5,instructions/episode_33.json,139,0
adjust_bottle/aloha-agilex_clean_50,data/episode_34.hdf5,instructions/episode_34.json,144,0
adjust_bottle/aloha-agilex_clean_50,data/episode_35.hdf5,instructions/episode_35.json,150,0
adjust_bottle/aloha-agilex_clean_50,data/episode_36.hdf5,instructions/episode_36.json,152,1
adjust_bottle/aloha-agilex_clean_50,data/episode_37.hdf5,instructions/episode_37.json,143,0
adjust_bottle/aloha-agilex_clean_50,data/episode_38.hdf5,instructions/episode_38.json,144,0
adjust_bottle/aloha-agilex_clean_50,data/episode_39.hdf5,instructions/episode_39.json,138,0
adjust_bottle/aloha-agilex_clean_50,data/episode_40.hdf5,instructions/episode_40.json,142,0
adjust_bottle/aloha-agilex_clean_50,data/episode_41.hdf5,instructions/episode_41.json,149,0
adjust_bottle/aloha-agilex_clean_50,data/episode_42.hdf5,instructions/episode_42.json,142,0
adjust_bottle/aloha-agilex_clean_50,data/episode_43.hdf5,instructions/episode_43.json,146,0
adjust_bottle/aloha-agilex_clean_50,data/episode_44.hdf5,instructions/episode_44.json,142,0
adjust_bottle/aloha-agilex_clean_50,data/episode_45.hdf5,instructions/episode_45.json,144,0
adjust_bottle/aloha-agilex_clean_50,data/episode_46.hdf5,instructions/episode_46.json,142,0
adjust_bottle/aloha-agilex_clean_50,data/episode_47.hdf5,instructions/episode_47.json,139,0
adjust_bottle/aloha-agilex_clean_50,data/episode_48.hdf5,instructions/episode_48.json,144,0
adjust_bottle/aloha-agilex_clean_50,data/episode_49.hdf5,instructions/episode_49.json,141,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_0.hdf5,instructions/episode_0.json,141,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_1.hdf5,instructions/episode_1.json,143,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_2.hdf5,instructions/episode_2.json,134,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_3.hdf5,instructions/episode_3.json,138,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_4.hdf5,instructions/episode_4.json,142,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_5.hdf5,instructions/episode_5.json,149,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_6.hdf5,instructions/episode_6.json,139,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_7.hdf5,instructions/episode_7.json,142,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_8.hdf5,instructions/episode_8.json,143,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_9.hdf5,instructions/episode_9.json,136,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_10.hdf5,instructions/episode_10.json,143,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_11.hdf5,instructions/episode_11.json,136,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_12.hdf5,instructions/episode_12.json,145,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_13.hdf5,instructions/episode_13.json,212,1
adjust_bottle/aloha-agilex_randomized_500,data/episode_14.hdf5,instructions/episode_14.json,135,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_15.hdf5,instructions/episode_15.json,143,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_16.hdf5,instructions/episode_16.json,138,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_17.hdf5,instructions/episode_17.json,133,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_18.hdf5,instructions/episode_18.json,135,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_19.hdf5,instructions/episode_19.json,146,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_20.hdf5,instructions/episode_20.json,149,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_21.hdf5,instructions/episode_21.json,143,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_22.hdf5,instructions/episode_22.json,156,1
adjust_bottle/aloha-agilex_randomized_500,data/episode_23.hdf5,instructions/episode_23.json,141,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_24.hdf5,instructions/episode_24.json,144,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_25.hdf5,instructions/episode_25.json,144,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_26.hdf5,instructions/episode_26.json,143,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_27.hdf5,instructions/episode_27.json,135,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_28.hdf5,instructions/episode_28.json,147,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_29.hdf5,instructions/episode_29.json,137,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_30.hdf5,instructions/episode_30.json,135,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_31.hdf5,instructions/episode_31.json,135,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_32.hdf5,instructions/episode_32.json,144,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_33.hdf5,instructions/episode_33.json,147,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_34.hdf5,instructions/episode_34.json,133,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_35.hdf5,instructions/episode_35.json,135,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_36.hdf5,instructions/episode_36.json,140,0
adjust_bottle/aloha-agilex_randomized_500,data/episode_37.hdf5,instructions/episode_37.json,144,0
